epoch,accuracy,loss,val_accuracy,val_loss
0,0.36119568,1.3308781873411066,0.455331414937973,1.2571368811796997
1,0.64572376,0.989482256503703,0.6541786789894104,0.9136646630441078
2,0.78411293,0.5870415226693236,0.7002881765365601,0.7818051660782322
3,0.83974534,0.432004127728784,0.6858789920806885,0.7829782469815411
4,0.8707445,0.3510304566667643,0.6887608170509338,0.8251368281477123
5,0.8989759,0.28597436731883835,0.6858789920806885,0.8738192567220683
6,0.9169665,0.24336969350930432,0.6887608170509338,0.9320849326227172
7,0.9349571,0.2011956812402993,0.6657060384750366,1.0510968306566177
8,0.9454747,0.1805065459915386,0.6916426420211792,1.0349582323766924
9,0.9540548,0.15576087938528327,0.6743515729904175,1.1008261988417216
10,0.9584833,0.13973448862502888,0.6628242135047913,1.2056098166391553
11,0.9634653,0.1248126808474541,0.6570605039596558,1.2440197007456844
12,0.96567947,0.11551504684862192,0.651296854019165,1.318888625768832
13,0.9665098,0.10972932635616009,0.6714697480201721,1.297007897745292
14,0.96983117,0.09576842176049757,0.6743515729904175,1.3568407231861301
15,0.9717686,0.08825719570588973,0.6772334575653076,1.4171841440008421
16,0.9706615,0.0861072370237569,0.6772334575653076,1.4862837272693512
17,0.9742596,0.08440924948919126,0.6685879230499268,1.47425993237784
18,0.9753667,0.07770199730781976,0.680115282535553,1.4992578366304337
19,0.97481316,0.07546610286917642,0.6858789920806885,1.4966906333175791
20,0.97592026,0.07111599252716742,0.6743515729904175,1.5981017248087726
21,0.97619706,0.06917943621150698,0.680115282535553,1.6689886383776706
22,0.97592026,0.06981510606922009,0.6743515729904175,1.5923377114001886
23,0.9770274,0.06287793413014944,0.680115282535553,1.6531958981961956
24,0.97592026,0.06825393691108378,0.6743515729904175,1.6751246675634246
